Timestamp,Endpoint,Allocated Memory (bytes),Total Allocated Memory (bytes),System Memory (bytes),Garbage Collections,Elapsed Time,CPU Usage (%),Memory Usage (KB)
2025-02-25T22:37:12+05:30,/item/last,19378968,39741536,59396096,9,15.1019ms,100.00,16907752.00
2025-02-25T22:37:12+05:30,/item/last,19393888,39756456,59396096,9,999.1µs,100.00,16907940.00
2025-02-25T22:37:12+05:30,/item/last,19409264,39771832,59396096,9,15.7039ms,100.00,16910908.00
2025-02-25T22:37:12+05:30,/item/last,19401888,39764456,59396096,9,0s,100.00,16911052.00
2025-02-25T22:37:12+05:30,/item/last,19422712,39785280,59396096,9,0s,100.00,16912084.00
2025-02-25T22:37:12+05:30,/item/last,19439624,39802192,59396096,9,2.9421ms,100.00,16913608.00
2025-02-25T22:37:12+05:30,/item/last,19453264,39815832,59396096,9,3.6499ms,100.00,16911136.00
2025-02-25T22:37:12+05:30,/item/last,19466736,39829304,59396096,9,2.3926ms,100.00,16910908.00
2025-02-25T22:37:12+05:30,/item/last,19486240,39848808,59396096,9,2.6252ms,100.00,16921216.00
2025-02-25T22:37:12+05:30,/item/last,19498080,39860648,59396096,9,1.0244ms,0.00,16921236.00
2025-02-25T22:37:12+05:30,/item/last,19511784,39874352,59396096,9,2.5061ms,100.00,16928908.00
2025-02-25T22:37:12+05:30,/item/last,19525440,39888008,59396096,9,1.08ms,100.00,16929652.00
2025-02-25T22:37:12+05:30,/item/last,19534200,39896768,59396096,9,4.7216ms,0.00,16930092.00
2025-02-25T22:37:12+05:30,/item/last,19553248,39915816,59396096,9,0s,100.00,16933804.00
2025-02-25T22:37:12+05:30,/item/last,19561120,39923688,59396096,9,515.2µs,100.00,16933608.00
2025-02-25T22:37:12+05:30,/item/last,19574704,39937272,59396096,9,0s,0.00,16933676.00
2025-02-25T22:37:13+05:30,/item/last,19593216,39955784,59396096,9,5.4381ms,100.00,16935296.00
2025-02-25T22:37:13+05:30,/item/last,19606456,39969024,59396096,9,1.003ms,0.00,16935524.00
